"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","cytoplasmic translation",148,-0.882264917752468,-1.50613003175369,1.81880246331975e-10,2.50721919568628e-07,2.50721919568628e-07,395,"tags=53%, list=10%, signal=49%","20005/67891/13682/110954/11837/270106/20103/27050/68135/13629/67115/20104/68193/27367/269261/76808/27176/22121/19988/56347/114641/66085/20115/20116/67025/66480/20054/20091/100503670/19944/19989/22608/319195/268449/13681/19896/20068/20085/67097/66489/26451/20102/20044/78294/20042/20088/56040/20055/19933/68028/68052/27207/66475/54217/75617/19943/19941/67945/65019/19951/19942/67427/67186/14109/20090/19934/67671/27370/19946/19982/67281/68436/267019/19981/57808/54127/67248/66481"
"GO:0006412","translation",346,-0.84771833468902,-1.47685608831854,1e-10,2.50721919568628e-07,2.50721919568628e-07,434,"tags=30%, list=10%, signal=30%","14433/20084/108989/56637/12192/229663/66845/20005/67891/13682/110954/11837/270106/20103/27050/17975/68135/66870/13629/67115/20104/14548/68193/27367/12317/269261/76808/18148/23983/27176/67869/13690/22121/66855/19988/56347/68836/114641/66085/20115/14828/20116/67025/66480/14694/20054/20091/100503670/19944/19989/22608/319195/268449/13681/19896/20068/55949/20085/67097/66489/26451/20102/13627/20044/78294/20042/20088/17872/56040/20055/66292/19933/20918/68028/68052/27207/66475/54217/75617/19943/19941/67945/65019/19951/19942/67427/67186/12227/22695/14109/20090/19934/67671/27370/19946/19982/67281/68436/267019/19981/57808/54127/67248/66481/57294"
"GO:0022613","ribonucleoprotein complex biogenesis",206,-0.826420443311697,-1.42885559839815,1.54735039718515e-07,0.000142201501501315,0.000142201501501315,373,"tags=25%, list=9%, signal=24%","11837/20103/17975/68135/67115/20104/66181/68193/56758/18148/27176/22121/15516/27981/81898/20643/192196/56347/66085/20115/20116/67025/20054/20091/100503670/19989/20068/20085/67097/66489/15519/20102/20044/78294/20042/20088/20055/69878/68011/68052/27207/66475/75617/19941/19942/14109/67671/267019/57808/54127/66481/57294"
"GO:0042254","ribosome biogenesis",132,-0.849959700496478,-1.44223560403259,2.26653916403605e-06,0.00156221211881185,0.00156221211881185,373,"tags=30%, list=9%, signal=28%","11837/20103/17975/67115/20104/66181/68193/18148/27176/20115/20116/67025/20054/20091/100503670/19989/20068/20085/67097/66489/20102/20044/78294/20042/20088/20055/68052/27207/66475/75617/19941/19942/14109/67671/267019/57808/54127/66481/57294"
"GO:0140241","translation at synapse",48,-0.913208887683295,-1.46205436327527,4.06707407753249e-05,0.0186882053862618,0.0186882053862618,395,"tags=96%, list=10%, signal=88%","20005/67891/110954/270106/20103/13629/67115/68193/269261/27176/22121/19988/66480/100503670/19944/19989/319195/268449/19896/67097/66489/26451/20044/78294/20042/20088/20055/27207/54217/19943/19941/65019/19951/19942/67186/19934/67671/27370/19982/67281/68436/267019/19981/57808/54127/57294"
"GO:0140242","translation at postsynapse",48,-0.913208887683295,-1.46205436327527,4.06707407753249e-05,0.0186882053862618,0.0186882053862618,395,"tags=96%, list=10%, signal=88%","20005/67891/110954/270106/20103/13629/67115/68193/269261/27176/22121/19988/66480/100503670/19944/19989/319195/268449/19896/67097/66489/26451/20044/78294/20042/20088/20055/27207/54217/19943/19941/65019/19951/19942/67186/19934/67671/27370/19982/67281/68436/267019/19981/57808/54127/57294"
"GO:0140236","translation at presynapse",47,-0.912977635497442,-1.45958279200211,6.41448450473825e-05,0.0252639053993762,0.0252639053993762,395,"tags=96%, list=10%, signal=88%","20005/67891/110954/270106/20103/67115/68193/269261/27176/22121/19988/66480/100503670/19944/19989/319195/268449/19896/67097/66489/26451/20044/78294/20042/20088/20055/27207/54217/19943/19941/65019/19951/19942/67186/19934/67671/27370/19982/67281/68436/267019/19981/57808/54127/57294"
"GO:0006364","rRNA processing",88,-0.858481662673027,-1.42056988318851,7.47355841158622e-05,0.025755750675929,0.025755750675929,350,"tags=27%, list=8%, signal=26%","17975/67115/20104/66181/18148/27176/20115/20116/67025/20054/100503670/19989/20068/20085/66489/20044/20088/20055/75617/19942/57808/54127/66481/57294"
"GO:0042274","ribosomal small subunit biogenesis",53,-0.890059284683798,-1.43769228557457,0.000153074288227294,0.042202581264265,0.042202581264265,233,"tags=42%, list=6%, signal=40%","20115/20116/20054/20091/20068/20085/67097/20102/20044/78294/20042/20088/20055/68052/27207/66475/75617/14109/267019/54127/66481/57294"
"GO:0016072","rRNA metabolic process",101,-0.837296164861926,-1.39386200659383,0.000144357469520725,0.042202581264265,0.042202581264265,350,"tags=26%, list=8%, signal=24%","17975/67115/20104/66181/20018/18148/27176/20115/20116/21969/67025/20054/100503670/19989/20068/20085/66489/20044/20088/20055/75617/19942/57808/54127/66481/57294"
